slug,title,matched_condition,matched_presentation,match_basis,match_method,match_confidence,requires_manual_review,coverage_status,categories,source_file
is-acute-pancreatitis,Acute Pancreatitis,Acute pancreatitis,,condition,exact,0.95,false,covered-needs-refresh,"Liver, pancreas, biliary system",extracted-illness-scripts-2026\is-acute-pancreatitis.html
is-acute-ulcerative-gingivitis,Acute Ulcerative Gingivitis (AUG),,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-acute-ulcerative-gingivitis.html
is-acute-urinary-retention,Acute Urinary Retention (AUR),Urinary retention/ obstructive uropathy,,condition,fuzzy:1.12,0.65,true,covered-needs-refresh,Kidneys and urinary tract,extracted-illness-scripts-2026\is-acute-urinary-retention.html
is-acute-viral-myositis,Acute Viral Myositis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-acute-viral-myositis.html
is-addisons-disease,Addison's Disease,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-addisons-disease.html
is-adenoid-hyperplasia,Adenoid Hyperplasia,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-adenoid-hyperplasia.html
is-adhesive-capsulitis,Adhesive Capsulitis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-adhesive-capsulitis.html
is-age-related-purpura,Age-Related Purpura,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-age-related-purpura.html
is-agranulocytosis,Agranulocytosis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-agranulocytosis.html
is-alcohol-abuse,Alcohol Abuse,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-alcohol-abuse.html
is-alcohol-and-drug-withdrawal,Alcohol and Drug Withdrawal,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-alcohol-and-drug-withdrawal.html
is-alcoholic-liver-disease,Alcoholic Liver Disease (ALD),Alcohol related liver disease,,condition,fuzzy:1.12,0.65,true,covered-needs-refresh,"Liver, pancreas, biliary system",extracted-illness-scripts-2026\is-alcoholic-liver-disease.html
is-allergic-rhinitis,Allergic Rhinitis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-allergic-rhinitis.html
is-alzheimers-disease,Alzheimer's Disease,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-alzheimers-disease.html
is-amaurosis-fugax,Amaurosis Fugax,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-amaurosis-fugax.html
is-anaemia-of-chronic-disease,Anaemia of Chronic Disease (ACD),Chronic kidney disease,,condition,fuzzy:1.16,0.65,true,covered-needs-refresh,Kidneys and urinary tract,extracted-illness-scripts-2026\is-anaemia-of-chronic-disease.html
is-anaemia-sob,Anaemia (Shortness of Breath - SOB),Anaemia,,condition,fuzzy:1.25,0.65,true,covered-needs-refresh,Blood and lymph,extracted-illness-scripts-2026\is-anaemia-sob.html
is-anaemia,Anaemia,Anaemia,,condition,exact,0.95,false,covered-needs-refresh,Blood and lymph,extracted-illness-scripts-2026\is-anaemia.html
is-anal-fissure,Anal Fissure,Anal fissure,,condition,exact,0.95,false,covered-needs-refresh,Gastrointestinal tract,extracted-illness-scripts-2026\is-anal-fissure.html
is-anaphylaxis,Anaphylaxis,Anaphylaxis,,condition,exact,0.95,false,covered-needs-refresh,Multi-system diseases,extracted-illness-scripts-2026\is-anaphylaxis.html
is-angina-old,Angina,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-angina-old.html
is-angina,Angina,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-angina.html
is-angiodysplasia,Angiodysplasia,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-angiodysplasia.html
is-ankle-or-foot-bone-fracture,Ankle or Foot Bone Fracture,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-ankle-or-foot-bone-fracture.html
is-ankle-sprain,Ankle Sprain,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-ankle-sprain.html
is-ankylosing-spondylitis,Ankylosing Spondylitis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-ankylosing-spondylitis.html
is-anorectal-abscess,Anorectal Abscess,Abscess,,condition,exact,0.95,false,covered-needs-refresh,Infections,extracted-illness-scripts-2026\is-anorectal-abscess.html
is-anorexia-nervosa,Anorexia Nervosa,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-anorexia-nervosa.html
is-anticoagulants-and-antiplatelets,Anticoagulants and Antiplatelets,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-anticoagulants-and-antiplatelets.html
is-anticoagulants,Anticoagulants,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-anticoagulants.html
is-anxiety-hyperventilation,Anxiety (Hyperventilation),,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-anxiety-hyperventilation.html
is-anxiety-induced-dizziness,Anxiety-Induced Dizziness,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-anxiety-induced-dizziness.html
is-anxiety,Anxiety,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-anxiety.html
is-aortic-aneurysm-rupture-or-dissection,Aortic Aneurysm (Rupture or Dissection),Aortic aneurysm,,condition,fuzzy:1.25,0.65,true,covered-needs-refresh,Heart and vasculature,extracted-illness-scripts-2026\is-aortic-aneurysm-rupture-or-dissection.html
is-aortic-aneurysm-thoracic,Aortic Aneurysm (Thoracic),Aortic aneurysm,,condition,fuzzy:1.35,0.65,true,covered-needs-refresh,Heart and vasculature,extracted-illness-scripts-2026\is-aortic-aneurysm-thoracic.html
is-aortic-aneurysm,Aortic Aneurysm,Aortic aneurysm,,condition,exact,0.95,false,covered-needs-refresh,Heart and vasculature,extracted-illness-scripts-2026\is-aortic-aneurysm.html
is-aortic-coarctation,Aortic Coarctation,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-aortic-coarctation.html
is-aortic-stenosis,Aortic Stenosis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-aortic-stenosis.html
is-aphthous-ulceration,Aphthous Ulceration,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-aphthous-ulceration.html
is-aplastic-anaemia,Aplastic Anaemia,Anaemia,,condition,exact,0.95,false,covered-needs-refresh,Blood and lymph,extracted-illness-scripts-2026\is-aplastic-anaemia.html
is-appendicitis,Appendicitis,Appendicitis,,condition,exact,0.95,false,covered-needs-refresh,Gastrointestinal tract,extracted-illness-scripts-2026\is-appendicitis.html
is-arrhythmia,Arrhythmia,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-arrhythmia.html
is-arthropathy,Arthropathy,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-arthropathy.html
is-ascites,Ascites,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-ascites.html
is-asthma,Asthma,Asthma,,condition,exact,0.95,false,covered-needs-refresh,"Lungs, pleura and airways",extracted-illness-scripts-2026\is-asthma.html
is-atopic-dermatitis,Atopic Dermatitis,Atopic dermatitis/ eczema,,condition,fuzzy:1.16,0.65,true,covered-needs-refresh,Skin and soft tissue,extracted-illness-scripts-2026\is-atopic-dermatitis.html
is-atrial-fibrillation,Atrial Fibrillation (AF),,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-atrial-fibrillation.html
is-atrial-flutter,Atrial Flutter,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-atrial-flutter.html
is-atrophic-vaginitis,Atrophic Vaginitis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-atrophic-vaginitis.html
is-atypical-myocardial-infarction,Atypical Myocardial Infarction,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-atypical-myocardial-infarction.html
is-autoimmune-hepatitis,Autoimmune Hepatitis,"Hepatitis (including viral, autoimmune, alcoholic)",,condition,fuzzy:1.08,0.65,true,covered-needs-refresh,"Liver, pancreas, biliary system",extracted-illness-scripts-2026\is-autoimmune-hepatitis.html
is-autonomic-neuropathy,Autonomic Neuropathy,Autonomic neuropathy,,condition,exact,0.95,false,covered-needs-refresh,Peripheral nervous system and neuromuscular junction,extracted-illness-scripts-2026\is-autonomic-neuropathy.html
is-av-block,Atrioventricular (AV) Block,Bradyarrhythmias (including AV block),,condition,fuzzy:1.12,0.65,true,covered-needs-refresh,Heart and vasculature,extracted-illness-scripts-2026\is-av-block.html
is-bakers-cyst-rupture,Baker's Cyst Rupture,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-bakers-cyst-rupture.html
is-bakers-cyst,Baker's Cyst,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-bakers-cyst.html
is-behavioural-disorders-in-children,Behavioural Disorders in Children,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-behavioural-disorders-in-children.html
is-bells-palsy,Bell's Palsy,Bell palsy,,condition,fuzzy:1.35,0.65,true,covered-needs-refresh,Peripheral nervous system and neuromuscular junction,extracted-illness-scripts-2026\is-bells-palsy.html
is-benign-prostatic-hypertrophy,Benign Prostatic Hypertrophy (BPH),Benign prostatic hyperplasia,,condition,exact,0.95,false,covered-needs-refresh,Male genitourinary tract,extracted-illness-scripts-2026\is-benign-prostatic-hypertrophy.html
is-biliary-colic,Biliary Colic,Gallstones and biliary colic,,condition,fuzzy:1.12,0.65,true,covered-needs-refresh,"Liver, pancreas, biliary system",extracted-illness-scripts-2026\is-biliary-colic.html
is-bipolar-disorder,Bipolar Disorder,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-bipolar-disorder.html
is-bladder-cancer,Bladder Cancer,Bladder cancer,,condition,exact,0.95,false,covered-needs-refresh,Kidneys and urinary tract,extracted-illness-scripts-2026\is-bladder-cancer.html
is-bleeding-disorders,Bleeding Disorders,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-bleeding-disorders.html
is-blepharitis,Blepharitis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-blepharitis.html
is-boils,Boils,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-boils.html
is-bone-fracture,Bone Fracture,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-bone-fracture.html
is-bone-tumours,Bone Tumours,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-bone-tumours.html
is-bowel-infarction-mesenteric-ischaemia,Bowel Infarction (Mesenteric Ischaemia),,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-bowel-infarction-mesenteric-ischaemia.html
is-bppv,Benign Paroxysmal Positional Vertigo (BPPV),Benign paroxysmal positional vertigo (BPPV),,condition,exact,0.95,false,covered-needs-refresh,"Ear, nose and throat",extracted-illness-scripts-2026\is-bppv.html
is-bradycardia,Bradycardia,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-bradycardia.html
is-brain-abscess,Brain Abscess,Brain abscess,,condition,exact,0.95,false,covered-needs-refresh,Brain and spinal cord,extracted-illness-scripts-2026\is-brain-abscess.html
is-brain-tumour-or-sol,Brain Tumour or Space-Occupying Lesion (SOL),,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-brain-tumour-or-sol.html
is-brain-tumour,Brain Tumour,Brain tumours (primary and secondary),,condition,fuzzy:1.08,0.65,true,covered-needs-refresh,Brain and spinal cord,extracted-illness-scripts-2026\is-brain-tumour.html
is-branchial-cyst,Branchial Cyst,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-branchial-cyst.html
is-breast-abscess,Breast Abscess,Abscess,,condition,exact,0.95,false,covered-needs-refresh,Infections,extracted-illness-scripts-2026\is-breast-abscess.html
is-breast-cancer,Breast Cancer,Breast cancer,,condition,exact,0.95,false,covered-needs-refresh,Breast,extracted-illness-scripts-2026\is-breast-cancer.html
is-broad-complex-tachycardia,Broad Complex Tachycardia,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-broad-complex-tachycardia.html
is-bronchiectasis,Bronchiectasis,Bronchiectasis,,condition,exact,0.95,false,covered-needs-refresh,"Lungs, pleura and airways",extracted-illness-scripts-2026\is-bronchiectasis.html
is-bronchiolitis,Bronchiolitis,Bronchiolitis,,condition,exact,0.95,false,covered-needs-refresh,Child health,extracted-illness-scripts-2026\is-bronchiolitis.html
is-bronchitis,Bronchitis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-bronchitis.html
is-bulimia-nervosa,Bulimia Nervosa,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-bulimia-nervosa.html
is-burning-mouth-syndrome,Burning Mouth Syndrome (BMS),,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-burning-mouth-syndrome.html
is-bursitis,Bursitis,Bursitis,,condition,exact,0.95,false,covered-needs-refresh,Musculoskeletal,extracted-illness-scripts-2026\is-bursitis.html
is-caffeine-withdrawal,Caffeine Withdrawal,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-caffeine-withdrawal.html
is-cancer-cachexia,Cancer Cachexia,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cancer-cachexia.html
is-carotid-aneurysm,Carotid Aneurysm,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-carotid-aneurysm.html
is-carpal-tunnel-syndrome,Carpal Tunnel Syndrome,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-carpal-tunnel-syndrome.html
is-cartilage-injury,Cartilage Injury,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cartilage-injury.html
is-cat-scratch-disease,Cat Scratch Disease,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cat-scratch-disease.html
is-cataract,Cataract,Cataracts,,condition,exact,0.95,false,covered-needs-refresh,Eye,extracted-illness-scripts-2026\is-cataract.html
is-cauda-equina-syndrome,Cauda Equina Syndrome,Cauda equina syndrome,,condition,exact,0.95,false,covered-needs-refresh,Musculoskeletal,extracted-illness-scripts-2026\is-cauda-equina-syndrome.html
is-cellulitis,Cellulitis,Cellulitis,,condition,exact,0.95,false,covered-needs-refresh,Skin and soft tissue,extracted-illness-scripts-2026\is-cellulitis.html
is-cerebellar-disorder,Cerebellar Disorder,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cerebellar-disorder.html
is-cerebrovascular-disease,Cerebrovascular Disease,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cerebrovascular-disease.html
is-cervical-cancer,Cervical Cancer,Cervical cancer,,condition,exact,0.95,false,covered-needs-refresh,Gynaecological tract,extracted-illness-scripts-2026\is-cervical-cancer.html
is-cervical-cord-compression,Cervical Cord Compression,Spinal cord compression,,condition,fuzzy:1.16,0.65,true,covered-needs-refresh,Brain and spinal cord,extracted-illness-scripts-2026\is-cervical-cord-compression.html
is-cervical-disc-disease,Cervical Disc Disease,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cervical-disc-disease.html
is-cervical-ectropion,Cervical Ectropion,Cervical ectropion,,condition,exact,0.95,false,covered-needs-refresh,Gynaecological tract,extracted-illness-scripts-2026\is-cervical-ectropion.html
is-cervical-lymphadenopathy,Cervical Lymphadenopathy,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cervical-lymphadenopathy.html
is-cervical-radiculopathy,Cervical Radiculopathy,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cervical-radiculopathy.html
is-cervical-rib,Cervical Rib,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cervical-rib.html
is-cervical-spondylosis,Cervical Spondylosis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cervical-spondylosis.html
is-cervical-sprain,Cervical Sprain,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cervical-sprain.html
is-cervicitis,Cervicitis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cervicitis.html
is-child-abuse,Child Abuse,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-child-abuse.html
is-childhood-anaemia,Childhood Anaemia,Anaemia,,condition,exact,0.95,false,covered-needs-refresh,Blood and lymph,extracted-illness-scripts-2026\is-childhood-anaemia.html
is-chlamydia,Chlamydia,Chlamydia,,condition,exact,0.95,false,covered-needs-refresh,Infections,extracted-illness-scripts-2026\is-chlamydia.html
is-cholangiocarcinoma,Cholangiocarcinoma,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cholangiocarcinoma.html
is-cholangitis,Cholangitis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cholangitis.html
is-cholecystitis,Cholecystitis,Cholecystitis,,condition,exact,0.95,false,covered-needs-refresh,"Liver, pancreas, biliary system",extracted-illness-scripts-2026\is-cholecystitis.html
is-cholestasis,Cholestasis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cholestasis.html
is-cholesteatoma,Cholesteatoma,Cholesteatoma,,condition,exact,0.95,false,covered-needs-refresh,"Ear, nose and throat",extracted-illness-scripts-2026\is-cholesteatoma.html
is-chronic-fatigue-syndrome,Chronic Fatigue Syndrome (CFS),Myalgic encephalomyelitis (ME)/ chronic fatigue syndrome (CFS),,condition,fuzzy:1.16,0.65,true,covered-needs-refresh,Multi-system diseases,extracted-illness-scripts-2026\is-chronic-fatigue-syndrome.html
is-chronic-glaucoma,Chronic Glaucoma,Chronic glaucoma,,condition,exact,0.95,false,covered-needs-refresh,Eye,extracted-illness-scripts-2026\is-chronic-glaucoma.html
is-chronic-infections,Chronic Infections,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-chronic-infections.html
is-chronic-kidney-disease,Chronic Kidney Disease (CKD),Chronic kidney disease,,condition,exact,0.95,false,covered-needs-refresh,Kidneys and urinary tract,extracted-illness-scripts-2026\is-chronic-kidney-disease.html
is-chronic-pain-syndromes,Chronic Pain Syndromes,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-chronic-pain-syndromes.html
is-chronic-pancreatitis,Chronic Pancreatitis,Chronic pancreatitis,,condition,exact,0.95,false,covered-needs-refresh,"Liver, pancreas, biliary system",extracted-illness-scripts-2026\is-chronic-pancreatitis.html
is-chronic-pelvic-pain,Chronic Pelvic Pain,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-chronic-pelvic-pain.html
is-chronic-venous-insufficiency,Chronic Venous Insufficiency (CVI),Venous insufficiency (including varicose veins),,condition,fuzzy:1.08,0.65,true,covered-needs-refresh,Heart and vasculature,extracted-illness-scripts-2026\is-chronic-venous-insufficiency.html
is-cluster-headache,Cluster Headache,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cluster-headache.html
is-coagulation-disorders,Coagulation Disorders,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-coagulation-disorders.html
is-coeliac-disease,Coeliac Disease,Coeliac disease,,condition,exact,0.95,false,covered-needs-refresh,Gastrointestinal tract,extracted-illness-scripts-2026\is-coeliac-disease.html
is-colonic-polyp,Colonic Polyp,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-colonic-polyp.html
is-colorectal-cancer,Colorectal Cancer,Colorectal cancer,,condition,exact,0.95,false,covered-needs-refresh,Gastrointestinal tract,extracted-illness-scripts-2026\is-colorectal-cancer.html
is-compartment-syndrome,Compartment Syndrome,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-compartment-syndrome.html
is-complex-regional-pain-syndrome,Complex Regional Pain Syndrome (CRPS),,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-complex-regional-pain-syndrome.html
is-congenital-heart-disease,Congenital Heart Disease,Congenital heart disease,,condition,exact,0.95,false,covered-needs-refresh,Heart and vasculature,extracted-illness-scripts-2026\is-congenital-heart-disease.html
is-conjunctivitis,Conjunctivitis,Conjunctivitis,,condition,exact,0.95,false,covered-needs-refresh,Eye,extracted-illness-scripts-2026\is-conjunctivitis.html
is-connective-tissue-diseases,Connective Tissue Diseases,Scleroderma and mixed connective tissue disease,,condition,fuzzy:1.18,0.65,true,covered-needs-refresh,Musculoskeletal,extracted-illness-scripts-2026\is-connective-tissue-diseases.html
is-constipation-induced-delirium,Constipation-Induced Delirium,Constipation,,condition,exact,0.95,false,covered-needs-refresh,Gastrointestinal tract,extracted-illness-scripts-2026\is-constipation-induced-delirium.html
is-constipation,Constipation,Constipation,,condition,exact,0.95,false,covered-needs-refresh,Gastrointestinal tract,extracted-illness-scripts-2026\is-constipation.html
is-contact-dermatitis,Contact Dermatitis,Contact dermatitis,,condition,exact,0.95,false,covered-needs-refresh,Skin and soft tissue,extracted-illness-scripts-2026\is-contact-dermatitis.html
is-contact-lens-problems,Contact Lens Problems,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-contact-lens-problems.html
is-contraceptive-related-bleeding,Contraceptive-Related Bleeding,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-contraceptive-related-bleeding.html
is-contraceptives,Contraceptives,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-contraceptives.html
is-copd-severe,COPD (Severe),,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-copd-severe.html
is-copd,COPD,Chronic obstructive pulmonary disease (COPD),,condition,fuzzy:1.36,0.65,true,covered-needs-refresh,"Lungs, pleura and airways",extracted-illness-scripts-2026\is-copd.html
is-corneal-abrasion,Corneal Abrasion,Corneal ulcer/ abrasion,,condition,fuzzy:1.16,0.65,true,covered-needs-refresh,Eye,extracted-illness-scripts-2026\is-corneal-abrasion.html
is-corneal-disease,Corneal Disease,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-corneal-disease.html
is-corneal-ulcer,Corneal Ulcer,Corneal ulcer/ abrasion,,condition,fuzzy:1.16,0.65,true,covered-needs-refresh,Eye,extracted-illness-scripts-2026\is-corneal-ulcer.html
is-corns-and-calluses,Corns and Calluses,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-corns-and-calluses.html
is-costochondritis,Costochondritis,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-costochondritis.html
is-covid-19,COVID-19,COVID-19,,condition,exact,0.95,false,covered-needs-refresh,Infections,extracted-illness-scripts-2026\is-covid-19.html
is-cows-milk-allergy,Cow’s Milk Allergy (CMA),Cow milk protein allergy,,condition,fuzzy:1.12,0.65,true,covered-needs-refresh,Child health,extracted-illness-scripts-2026\is-cows-milk-allergy.html
is-crohns-disease,Crohn's Disease,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-crohns-disease.html
is-croup,Croup,Croup,,condition,exact,0.95,false,covered-needs-refresh,Child health,extracted-illness-scripts-2026\is-croup.html
is-cruciate-ligament-injury,Cruciate Ligament Injury,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cruciate-ligament-injury.html
is-cushings-syndrome,Cushing's Syndrome,Cushing syndrome,,condition,fuzzy:1.35,0.65,true,covered-needs-refresh,Endocrine and metabolic,extracted-illness-scripts-2026\is-cushings-syndrome.html
is-cyclical-breast-pain,Cyclical Breast Pain,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cyclical-breast-pain.html
is-cystic-fibrosis,Cystic Fibrosis (CF),Cystic fibrosis,,condition,exact,0.95,false,covered-needs-refresh,Genetic and congenital,extracted-illness-scripts-2026\is-cystic-fibrosis.html
is-cytomegalovirus,Cytomegalovirus (CMV) Infection,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-cytomegalovirus.html
is-dehydration,Dehydration,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-dehydration.html
is-delirium,Delirium,Delirium,,condition,exact,0.95,false,covered-needs-refresh,Brain and spinal cord,extracted-illness-scripts-2026\is-delirium.html
is-dementia,Dementia,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-dementia.html
is-dental-pain,Dental Pain,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-dental-pain.html
is-denture-related-pain,Denture-Related Pain,,,unmatched,unmatched,0.00,true,not_covered,,extracted-illness-scripts-2026\is-denture-related-pain.html
is-depression,Depression,Depression,,condition,exact,0.95,false,covered-needs-refresh,Mental health,extracted-illness-scripts-2026\is-depression.html
